# 전국 학교 목록 — NEIS 학교기본정보(schoolInfo)에서 받음
# 받은 시각: 2026-09-11T05:36:57.877Z
# 학교 수: 12672
# 열: 학교코드 	 학교명 	 급별색인 	 시도색인 	 주소(시도 접두 제거)
# 급별: 고등학교|중학교|공동실습소|방송통신고등학교|초등학교|특수학교|각종학교(중)|각종학교(고)|외국인학교|방송통신중학교|각종학교(초)|평생학교(고)-3년6학기|평생학교(초)-3년6학기|평생학교(고)-2년6학기|평생학교(중)-2년6학기|고등기술학교|각종학교(외국인학교)|국제학교|각종학교(대안학교)|고등공민학교|평생학교(초)-4년12학기||평생학교(중)-3년6학기|재외한국학교(고)|재외한국학교(중)|재외한국학교(초)
# 시도: 서울특별시|부산광역시|대구광역시|인천광역시|전남광주통합특별시(광주)|대전광역시|울산광역시|세종특별자치시|경기도|강원특별자치도|충청북도|충청남도|전북특별자치도|전남광주통합특별시(전남)|경상북도|경상남도|제주특별자치도|재외한국학교
# 다시 만들려면: NEIS_API_KEY=<키> node scripts/fetchSchoolList.js
7134123	광양중학교	1	0	광진구 자양로3길 7
7010134	광영고등학교	0	0	양천구 남부순환로30길 17
7010135	광영여자고등학교	0	0	양천구 남부순환로30길 17
7011505	광운인공지능고등학교	0	0	노원구 광운로1길 24
7051175	광운중학교	1	0	노원구 광운로1길 24
7121335	광운초등학교	4	0	성북구 한천로 694
7134124	광장중학교	1	0	광진구 광장로1길 1
7134125	광진중학교	1	0	광진구 뚝섬로64길 45
7134126	광희중학교	1	0	성동구 독서당로62길 46
7010575	교남학교	5	0	강서구 까치산로22길 38
7010068	구로고등학교	0	0	구로구 가마산로27길 45
7041169	구로중학교	1	0	구로구 구로중앙로 48
7091423	구룡중학교	1	0	강남구 선릉로 103
7031181	구산중학교	1	0	은평구 갈현로15길 20-23
7011111	구암고등학교	0	0	관악구 성현로 57
7132127	구암중학교	1	0	관악구 성현로 53
7134127	구의중학교	1	0	광진구 광나루로30길 80
7010069	구일고등학교	0	0	구로구 구일로 90-51
7041170	구일중학교	1	0	구로구 구일로 90-133
7010827	구현고등학교	0	0	구로구 경인로53가길 17
1371661	국립국악고등학교	0	0	강남구 개포로22길 65
1371662	국립국악중학교	6	0	강남구 개포로22길 65
1371663	국립전통예술고등학교	0	0	금천구 시흥대로38길 62
1371664	국립전통예술중학교	6	0	금천구 시흥대로38길 62
7132128	국사봉중학교	1	0	동작구 양녕로20길 20
7021080	금성초등학교	4	0	중랑구 신내로21길 55
7010071	금옥여자고등학교	0	0	양천구 신정로 213
7081488	금옥중학교	1	0	양천구 신정로 213
7010072	금천고등학교	0	0	금천구 시흥대로38길 26
7011317	금천문화예술정보학교	7	0	금천구 남부순환로126길 25
7011319	금호고등학교	0	0	성동구 금호로 118
7061183	금호중학교	1	0	중구 청구로 6
7121357	길음중학교	1	0	성북구 길음로 144
7011096	꿈타래학교	7	0	관악구 신림로 67
7041171	난곡중학교	1	0	금천구 문성로 67
7132129	난우중학교	1	0	관악구 난곡로16길 32
7010136	남강고등학교	0	0	관악구 난곡로34길 80
7132130	남강중학교	1	0	관악구 난곡로34길 80
7121360	남대문중학교	1	0	성북구 한천로 660-30
7132131	남서울중학교	1	0	관악구 남부순환로172길 97
7132132	남성중학교	1	0	동작구 남부순환로269길 166
7091486	내곡중학교	1	0	서초구 청계산로7길 9-20
7051176	노곡중학교	1	0	도봉구 노해로70길 95
7010564	노원고등학교	0	0	노원구 노원로 586
7051177	노원중학교	1	0	노원구 동일로213길 26
7051178	노일중학교	1	0	노원구 동일로231길 24
7051179	녹천중학교	1	0	노원구 월계로 376
7011302	누리학교	5	0	동작구 상도로 53
7010589	누원고등학교	0	0	도봉구 마들로 849
7010459	다니엘학교	5	0	서초구 헌릉로468길 21-16
7011489	단국대학교부속소프트웨어고등학교	0	0	강남구 도곡로64길 21
7010137	단국대학교사범대학부속고등학교	0	0	강남구 도곡로64길 21
7091449	단국대학교사범대학부속중학교	1	0	강남구 도곡로64길 21
7010073	당곡고등학교	0	0	관악구 봉천로21길 108
7132133	당곡중학교	1	0	관악구 봉천로13길 101
7041172	당산서중학교	1	0	영등포구 당산로41길 12
7041173	당산중학교	1	0	영등포구 버드나루로 160
7011507	대경생활과학고등학교	0	0	중구 매봉18길 111
7061096	대경중학교	1	0	중구 매봉18길 111
7010138	대광고등학교	0	0	동대문구 안암로 6
7021124	대광중학교	1	0	동대문구 안암로 6
7121336	대광초등학교	4	0	성북구 안암로 5
